Date,Mkt-RF,SMB,HML,RF
2010-04-12,0.23,0.26,0.07,0.0
2010-04-13,0.07,0.16,-0.06,0.0
2010-04-14,1.24,0.86,1.43,0.0
2010-04-15,0.11,0.58,-0.03,0.0
2010-04-16,-1.53,0.84,-1.87,0.0
2010-04-19,0.28,-0.87,-0.04,0.0
2010-04-20,0.88,0.64,0.59,0.0
2010-04-21,-0.06,0.72,0.19,0.0
2010-04-22,0.37,0.8,0.53,0.0
2010-04-23,0.7,0.33,0.6,0.0
2010-04-26,-0.43,0.48,-0.38,0.0
2010-04-27,-2.34,0.12,-1.36,0.0
2010-04-28,0.56,-0.72,0.7,0.0
2010-04-29,1.34,0.43,0.54,0.0
2010-04-30,-1.72,-0.97,-0.86,0.0
2010-05-03,1.36,0.63,0.59,0.0
2010-05-04,-2.5,-0.55,-0.92,0.0
2010-05-05,-0.75,-0.74,-0.6,0.0
2010-05-06,-3.27,-0.26,-0.91,0.0
2010-05-07,-1.75,-1.3,-0.51,0.0
2010-05-10,4.47,0.93,1.23,0.0
2010-05-11,-0.17,1.14,-0.16,0.0
2010-05-12,1.63,1.47,0.15,0.0
2010-05-13,-1.12,0.32,-0.33,0.0
2010-05-14,-1.91,-0.25,-0.75,0.0
2010-05-17,0.11,0.07,-0.59,0.0
2010-05-18,-1.41,-0.22,-0.96,0.0
2010-05-19,-0.63,-0.94,0.04,0.0
2010-05-20,-3.99,-0.9,-1.2,0.0
2010-05-21,1.43,-0.46,1.57,0.0
2010-05-24,-1.19,0.3,-0.89,0.0
2010-05-25,-0.03,-0.48,0.56,0.0
2010-05-26,-0.35,0.83,0.4,0.0
2010-05-27,3.44,0.62,1.63,0.0
2010-05-28,-1.18,0.11,-0.69,0.0
2010-06-01,-1.89,-1.01,-1.63,0.0
2010-06-02,2.63,0.17,0.42,0.0
2010-06-03,0.54,0.72,-0.28,0.0
2010-06-04,-3.62,-1.21,-0.68,0.0
2010-06-07,-1.52,-1.1,-1.0,0.0
2010-06-08,0.91,-1.42,0.12,0.0
2010-06-09,-0.46,0.75,-0.2,0.0
2010-06-10,2.95,0.37,0.89,0.0
2010-06-11,0.61,0.96,0.03,0.0
2010-06-14,-0.06,0.64,-0.01,0.0
2010-06-15,2.36,0.06,0.91,0.0
2010-06-16,-0.11,-0.18,-0.32,0.0
2010-06-17,0.08,-0.15,-0.5,0.0
2010-06-18,0.13,-0.01,0.22,0.0
2010-06-21,-0.47,-0.52,-0.05,0.0
2010-06-22,-1.63,-0.34,-0.74,0.0
2010-06-23,-0.29,-0.03,0.23,0.0
2010-06-24,-1.65,0.14,-0.89,0.0
2010-06-25,0.48,1.03,1.06,0.0
2010-06-28,-0.23,-0.02,-0.77,0.0
2010-06-29,-3.23,-0.66,-1.28,0.0
2010-06-30,-0.98,0.04,-0.33,0.0
2010-07-01,-0.4,-0.32,-0.4,0.0
2010-07-02,-0.49,-0.3,-0.45,0.0
2010-07-06,0.34,-1.97,0.08,0.0
2010-07-07,3.17,0.09,0.36,0.0
2010-07-08,1.0,0.56,0.03,0.0
2010-07-09,0.81,0.68,0.58,0.0
2010-07-12,-0.11,-1.15,0.07,0.0
2010-07-13,1.77,1.63,0.58,0.0
2010-07-14,-0.04,-0.14,-0.83,0.0
2010-07-15,0.02,-0.86,-0.16,0.0
2010-07-16,-2.94,-0.53,-0.96,0.0
2010-07-19,0.54,-0.17,-0.18,0.0
2010-07-20,1.23,0.66,0.03,0.0
2010-07-21,-1.3,-0.44,-0.36,0.0
2010-07-22,2.37,1.22,0.59,0.0
2010-07-23,1.05,1.48,-0.33,0.0
2010-07-26,1.23,0.88,0.15,0.0
2010-07-27,-0.23,-0.3,0.31,0.0
2010-07-28,-0.83,-0.89,0.04,0.0
2010-07-29,-0.36,0.26,0.67,0.0
2010-07-30,0.06,0.04,-0.22,0.0
2010-08-02,2.09,-0.5,0.08,0.0
2010-08-03,-0.55,-0.41,-0.47,0.0
2010-08-04,0.74,0.45,-0.09,0.0
2010-08-05,-0.22,-0.85,0.12,0.0
2010-08-06,-0.36,-0.19,-0.31,0.0
2010-08-09,0.62,0.56,0.18,0.0
2010-08-10,-0.78,-1.24,-0.19,0.0
2010-08-11,-2.91,-1.08,-0.62,0.0
2010-08-12,-0.5,-0.03,-0.08,0.0
2010-08-13,-0.46,-0.81,0.27,0.0
2010-08-16,0.1,0.95,-0.2,0.0
2010-08-17,1.31,0.54,-0.18,0.0
2010-08-18,0.21,0.09,0.04,0.0
2010-08-19,-1.74,-0.84,-0.4,0.0
2010-08-20,-0.28,0.31,-0.25,0.0
2010-08-23,-0.5,-0.95,-0.4,0.0
2010-08-24,-1.48,0.15,0.22,0.0
2010-08-25,0.45,1.04,0.01,0.0
2010-08-26,-0.76,-0.11,-0.22,0.0
2010-08-27,1.82,0.94,0.35,0.0
2010-08-30,-1.54,-0.85,-0.4,0.0
2010-08-31,0.01,-0.25,0.78,0.0
2010-09-01,3.05,0.62,0.45,0.0
2010-09-02,0.97,0.26,-0.37,0.0
2010-09-03,1.35,0.38,0.17,0.0
2010-09-07,-1.23,-0.79,-0.75,0.0
2010-09-08,0.65,0.08,0.11,0.0
2010-09-09,0.44,-0.46,0.5,0.0
2010-09-10,0.45,-0.13,-0.11,0.0
2010-09-13,1.3,1.18,0.15,0.0
2010-09-14,-0.06,-0.24,-0.5,0.0
2010-09-15,0.36,0.13,-0.19,0.0
2010-09-16,-0.07,-0.5,-0.69,0.0
2010-09-17,0.15,0.57,-0.49,0.0
2010-09-20,1.6,1.17,0.18,0.0
2010-09-21,-0.31,-0.31,-0.26,0.0
2010-09-22,-0.52,-0.57,-0.58,0.0
2010-09-23,-0.78,-0.08,-0.66,0.0
2010-09-24,2.19,0.96,0.55,0.0
2010-09-27,-0.46,0.17,-0.46,0.0
2010-09-28,0.57,0.49,0.15,0.0
2010-09-29,-0.17,0.62,-0.2,0.0
2010-09-30,-0.26,0.03,0.33,0.0
2010-10-01,0.43,-0.01,0.16,0.0
2010-10-04,-0.88,-0.67,-0.1,0.0
2010-10-05,2.11,0.77,0.18,0.0
2010-10-06,-0.11,-0.35,0.42,0.0
2010-10-07,-0.16,0.03,-0.26,0.0
2010-10-08,0.74,0.94,-0.15,0.0
2010-10-11,0.04,0.09,-0.25,0.0
2010-10-12,0.39,-0.04,0.19,0.0
2010-10-13,0.78,0.85,-0.26,0.0
2010-10-14,-0.38,0.36,-0.32,0.0
2010-10-15,0.18,-0.17,-1.13,0.0
2010-10-18,0.69,0.1,0.85,0.0
2010-10-19,-1.67,-0.7,0.24,0.0
2010-10-20,1.06,0.03,0.07,0.0
2010-10-21,0.11,-0.55,-0.48,0.0
2010-10-22,0.29,0.44,-0.4,0.0
2010-10-25,0.31,0.43,-0.45,0.0
2010-10-26,0.02,0.01,-0.22,0.0
2010-10-27,-0.24,-0.16,-0.28,0.0
2010-10-28,0.08,-0.62,-0.08,0.0
2010-10-29,0.07,0.35,-0.13,0.0
2010-11-01,-0.01,-0.65,-0.19,0.0
2010-11-02,0.9,1.3,-0.15,0.0
2010-11-03,0.38,-0.03,0.15,0.0
2010-11-04,1.94,0.54,0.93,0.0
2010-11-05,0.41,-0.06,0.55,0.0
2010-11-08,-0.12,0.43,-0.46,0.0
2010-11-09,-0.78,-0.4,-0.47,0.0
2010-11-10,0.53,0.58,0.56,0.0
2010-11-11,-0.35,-0.1,-0.12,0.0
2010-11-12,-1.29,-0.46,-0.06,0.0
2010-11-15,-0.09,0.22,0.26,0.0
2010-11-16,-1.57,-0.33,-0.11,0.0
2010-11-17,0.07,0.34,-0.26,0.0
2010-11-18,1.58,0.31,-0.3,0.0
2010-11-19,0.31,0.18,-0.19,0.0
2010-11-22,-0.02,0.57,-0.9,0.0
2010-11-23,-1.38,0.48,-0.24,0.0
2010-11-24,1.6,0.66,0.05,0.0
2010-11-26,-0.67,0.28,-0.33,0.0
2010-11-29,-0.13,0.02,0.39,0.0
2010-11-30,-0.6,-0.22,0.05,0.0
2010-12-01,2.12,-0.09,0.02,0.0
2010-12-02,1.23,-0.29,0.58,0.0
2010-12-03,0.35,0.41,0.04,0.0
2010-12-06,-0.03,0.78,-0.09,0.0
2010-12-07,0.1,0.3,0.12,0.0
2010-12-08,0.32,-0.5,0.61,0.0
2010-12-09,0.42,-0.02,0.59,0.0
2010-12-10,0.67,0.46,0.18,0.0
2010-12-13,-0.08,-0.57,0.04,0.0
2010-12-14,0.09,-0.09,-0.05,0.0
2010-12-15,-0.49,0.21,-0.54,0.0
2010-12-16,0.7,0.4,-0.08,0.0
2010-12-17,0.15,0.12,-0.12,0.0
2010-12-20,0.23,-0.01,0.3,0.0
2010-12-21,0.68,0.39,0.7,0.0
2010-12-22,0.29,-0.31,0.72,0.0
2010-12-23,-0.16,0.11,-0.32,0.0
2010-12-27,0.08,0.24,0.43,0.0
2010-12-28,0.0,-0.44,0.19,0.0
2010-12-29,0.17,0.1,-0.12,0.0
2010-12-30,-0.11,0.14,-0.04,0.0
2010-12-31,-0.1,-0.63,0.22,0.0
2011-01-03,1.18,0.53,0.72,0.0
2011-01-04,-0.26,-1.32,-0.02,0.0
2011-01-05,0.6,0.61,0.12,0.0
2011-01-06,-0.15,-0.07,-0.33,0.0
2011-01-07,-0.21,-0.29,-0.21,0.0
2011-01-10,-0.02,0.51,-0.14,0.0
2011-01-11,0.39,0.12,0.19,0.0
2011-01-12,0.87,-0.02,0.21,0.0
2011-01-13,-0.18,0.14,-0.33,0.0
2011-01-14,0.69,0.02,0.6,0.0
2011-01-18,0.18,0.09,-0.53,0.0
2011-01-19,-1.24,-1.38,-0.49,0.0
2011-01-20,-0.29,-0.97,0.58,0.0
2011-01-21,0.11,-0.88,0.56,0.0
2011-01-24,0.66,0.27,-0.23,0.0
2011-01-25,0.02,0.0,0.13,0.0
2011-01-26,0.6,1.39,-0.22,0.0
2011-01-27,0.27,-0.11,0.36,0.0
2011-01-28,-1.88,-0.85,-0.07,0.0
2011-01-31,0.72,0.02,-0.29,0.0
2011-02-01,1.75,0.48,0.5,0.0
2011-02-02,-0.26,-0.04,-0.37,0.0
2011-02-03,0.26,-0.05,-0.03,0.0
2011-02-04,0.29,0.0,-0.43,0.0
2011-02-07,0.7,0.28,0.56,0.0
2011-02-08,0.48,0.23,-0.02,0.0
2011-02-09,-0.31,-0.22,-0.04,0.0
2011-02-10,0.12,0.36,-0.35,0.0
2011-02-11,0.67,0.42,0.45,0.0
2011-02-14,0.3,0.21,-0.14,0.0
2011-02-15,-0.38,-0.34,0.25,0.0
2011-02-16,0.68,0.39,0.18,0.0
2011-02-17,0.37,0.34,0.22,0.0
2011-02-18,0.12,-0.1,0.05,0.0
2011-02-22,-2.19,-0.57,-0.22,0.0
2011-02-23,-0.78,-1.14,0.39,0.0
2011-02-24,0.04,0.73,-0.36,0.0
2011-02-25,1.22,1.0,0.24,0.0
2011-02-28,0.42,-0.46,0.28,0.0
2011-03-01,-1.58,-0.33,-0.05,0.0
2011-03-02,0.28,0.3,-0.25,0.0
2011-03-03,1.76,0.43,-0.05,0.0
2011-03-04,-0.67,0.27,-0.53,0.0
2011-03-07,-0.96,-0.74,0.09,0.0
2011-03-08,0.97,0.48,0.63,0.0
2011-03-09,-0.18,-0.26,0.32,0.0
2011-03-10,-1.93,-0.75,-0.3,0.0
2011-03-11,0.69,-0.32,0.13,0.0
2011-03-14,-0.59,0.11,-0.39,0.0
2011-03-15,-1.05,0.28,-0.14,0.0
2011-03-16,-1.77,0.63,-0.11,0.0
2011-03-17,1.12,-0.81,0.57,0.0
2011-03-18,0.49,0.62,0.09,0.0
2011-03-21,1.58,0.93,-0.17,0.0
2011-03-22,-0.34,-0.08,-0.05,0.0
2011-03-23,0.31,0.16,-0.47,0.0
2011-03-24,0.96,-0.1,-0.4,0.0
2011-03-25,0.41,0.41,-0.02,0.0
2011-03-28,-0.35,0.04,-0.26,0.0
2011-03-29,0.73,0.25,-0.23,0.0
2011-03-30,0.79,0.43,0.07,0.0
2011-03-31,-0.11,0.59,-0.28,0.0
2011-04-01,0.52,-0.12,0.21,0.0
2011-04-04,0.09,0.27,-0.15,0.0
2011-04-05,0.08,0.5,-0.26,0.0
2011-04-06,0.2,-0.15,0.57,0.0
2011-04-07,-0.2,-0.21,-0.2,0.0
2011-04-08,-0.47,-0.57,-0.25,0.0
2011-04-11,-0.39,-0.62,-0.08,0.0
2011-04-12,-0.84,-0.67,0.06,0.0
2011-04-13,0.11,0.13,-0.69,0.0
2011-04-14,0.0,0.3,-0.23,0.0
2011-04-15,0.44,0.56,-0.08,0.0
2011-04-18,-1.15,-0.39,-0.28,0.0
2011-04-19,0.51,-0.33,-0.25,0.0
2011-04-20,1.46,0.57,-0.51,0.0
2011-04-21,0.56,0.3,-0.06,0.0
2011-04-25,-0.15,-0.04,-0.04,0.0
2011-04-26,0.89,0.14,-0.03,0.0
2011-04-27,0.66,-0.09,-0.25,0.0
2011-04-28,0.32,-0.12,0.16,0.0
2011-04-29,0.29,0.19,-0.03,0.0
2011-05-02,-0.28,-0.92,-0.16,0.0
2011-05-03,-0.5,-0.97,0.33,0.0
2011-05-04,-0.74,-0.56,-0.07,0.0
2011-05-05,-0.82,0.51,-0.34,0.0
2011-05-06,0.45,0.01,-0.13,0.0
2011-05-09,0.55,0.66,-0.48,0.0
2011-05-10,0.86,0.65,0.28,0.0
2011-05-11,-1.09,-0.63,-0.38,0.0
2011-05-12,0.52,0.35,-0.4,0.0
2011-05-13,-0.88,-0.47,-0.27,0.0
2011-05-16,-0.77,-1.02,0.43,0.0
2011-05-17,-0.11,-0.41,0.07,0.0
2011-05-18,1.02,0.64,-0.29,0.0
2011-05-19,0.22,-0.06,-0.07,0.0
2011-05-20,-0.73,0.07,-0.15,0.0
2011-05-23,-1.29,-0.51,0.02,0.0
2011-05-24,-0.15,-0.28,-0.03,0.0
2011-05-25,0.45,1.02,-0.34,0.0
2011-05-26,0.52,0.67,-0.12,0.0
2011-05-27,0.49,0.18,0.23,0.0
2011-05-31,1.04,0.44,-0.04,0.0
2011-06-01,-2.33,-0.76,-0.25,0.0
2011-06-02,-0.1,-0.06,0.14,0.0
2011-06-03,-1.1,-0.53,0.12,0.0
2011-06-06,-1.18,-0.26,-0.26,0.0
2011-06-07,-0.05,0.34,-0.14,0.0
2011-06-08,-0.54,-0.72,0.07,0.0
2011-06-09,0.75,-0.08,-0.03,0.0
2011-06-10,-1.37,-0.22,0.38,0.0
2011-06-13,0.01,-0.53,0.35,0.0
2011-06-14,1.36,1.01,-0.36,0.0
2011-06-15,-1.71,-0.02,-0.13,0.0
2011-06-16,0.13,-0.12,0.53,0.0
2011-06-17,0.25,-0.39,0.66,0.0
2011-06-20,0.58,0.35,-0.05,0.0
2011-06-21,1.52,0.95,-0.4,0.0
2011-06-22,-0.62,-0.12,0.02,0.0
2011-06-23,-0.14,0.63,-0.77,0.0
2011-06-24,-1.11,0.42,0.11,0.0
2011-06-27,0.89,0.05,-0.03,0.0
2011-06-28,1.36,0.37,-0.46,0.0
2011-06-29,0.77,-0.68,0.63,0.0
2011-06-30,0.99,0.19,-0.28,0.0
2011-07-01,1.45,-0.04,0.14,0.0
2011-07-05,-0.07,0.23,-0.85,0.0
2011-07-06,0.17,0.43,-0.58,0.0
2011-07-07,1.1,0.46,0.16,0.0
2011-07-08,-0.67,0.02,-0.42,0.0
2011-07-11,-1.9,-0.12,-0.33,0.0
2011-07-12,-0.45,0.04,0.41,0.0
2011-07-13,0.45,0.57,-0.14,0.0
2011-07-14,-0.81,-0.81,0.12,0.0
2011-07-15,0.57,0.12,-0.5,0.0
2011-07-18,-0.94,-0.56,-0.42,0.0
2011-07-19,1.71,0.58,-0.65,0.0
2011-07-20,-0.1,-0.32,0.79,0.0
2011-07-21,1.29,-0.36,1.1,0.0
2011-07-22,0.1,-0.09,-0.69,0.0
2011-07-25,-0.68,-0.59,0.15,0.0
2011-07-26,-0.47,-0.35,0.32,0.0
2011-07-27,-2.15,-0.77,0.4,0.0
2011-07-28,-0.31,0.12,0.01,0.0
2011-07-29,-0.57,0.27,0.07,0.0
2011-08-01,-0.4,-0.15,0.15,0.0
2011-08-02,-2.68,-0.43,0.18,0.0
2011-08-03,0.59,0.23,-0.37,0.0
2011-08-04,-5.03,-0.79,0.37,0.0
2011-08-05,-0.36,-1.19,-0.62,0.0
2011-08-08,-6.96,-1.37,-1.62,0.0
2011-08-09,4.97,0.91,0.73,0.0
2011-08-10,-4.3,-0.5,-1.61,0.0
2011-08-11,4.72,0.24,0.8,0.0
2011-08-12,0.54,-0.23,-1.51,0.0
2011-08-15,2.25,0.45,1.02,0.0
2011-08-16,-1.07,-0.8,-0.14,0.0
2011-08-17,-0.01,-0.32,0.65,0.0
2011-08-18,-4.64,-0.96,0.54,0.0
2011-08-19,-1.54,0.14,-0.36,0.0
2011-08-22,-0.03,0.17,-0.9,0.0
2011-08-23,3.6,1.24,-0.79,0.0
2011-08-24,1.35,-0.19,1.0,0.0
2011-08-25,-1.67,-1.0,0.49,0.0
2011-08-26,1.74,0.85,-1.0,0.0
2011-08-29,3.11,1.52,0.93,0.0
2011-08-30,0.32,0.31,-0.78,0.0
2011-08-31,0.42,-0.81,0.48,0.0
2011-09-01,-1.33,-1.06,-0.78,0.0
2011-09-02,-2.64,-0.75,-0.75,0.0
2011-09-06,-0.72,0.5,-0.64,0.0
2011-09-07,3.06,0.88,1.03,0.0
2011-09-08,-1.18,-0.73,-0.61,0.0
2011-09-09,-2.65,-0.17,-0.04,0.0
2011-09-12,0.68,0.01,0.37,0.0
2011-09-13,1.12,0.77,-0.37,0.0
2011-09-14,1.45,0.4,-0.38,0.0
2011-09-15,1.64,-0.57,0.57,0.0
2011-09-16,0.47,-0.35,-0.33,0.0
2011-09-19,-0.99,-0.49,-1.25,0.0
2011-09-20,-0.45,-1.46,0.2,0.0
2011-09-21,-2.92,-0.31,-1.24,0.0
2011-09-22,-3.29,0.15,0.45,0.0
2011-09-23,0.74,0.65,-0.02,0.0
2011-09-26,2.28,-0.66,1.28,0.0
2011-09-27,1.22,1.06,-0.63,0.0
2011-09-28,-2.29,-1.63,-0.24,0.0
2011-09-29,0.77,0.55,2.11,0.0
2011-09-30,-2.5,-0.07,-0.21,0.0
2011-10-03,-3.18,-1.91,-0.58,0.0
2011-10-04,2.68,3.57,0.44,0.0
2011-10-05,1.92,-0.2,-0.45,0.0
2011-10-06,1.94,0.17,0.6,0.0
2011-10-07,-0.97,-1.23,-1.47,0.0
2011-10-10,3.44,0.44,0.62,0.0
2011-10-11,0.15,0.65,-0.12,0.0
2011-10-12,1.07,0.42,0.94,0.0
2011-10-13,-0.21,0.29,-1.26,0.0
2011-10-14,1.72,0.15,-0.33,0.0
2011-10-17,-2.06,-1.24,-0.5,0.0
2011-10-18,2.11,0.58,1.67,0.0
2011-10-19,-1.38,-0.76,0.32,0.0
2011-10-20,0.42,-0.32,0.75,0.0
2011-10-21,1.92,0.14,0.08,0.0
2011-10-24,1.58,1.72,-0.35,0.0
2011-10-25,-2.13,-0.87,-0.32,0.0
2011-10-26,1.12,0.64,0.76,0.0
2011-10-27,3.54,1.38,0.91,0.0
2011-10-28,-0.02,-0.53,-0.54,0.0
2011-10-31,-2.5,0.07,-0.87,0.0
2011-11-01,-2.86,-0.48,-1.13,0.0
2011-11-02,1.73,0.71,0.94,0.0
2011-11-03,1.97,0.57,-0.14,0.0
2011-11-04,-0.53,0.01,-0.62,0.0
2011-11-07,0.48,-0.69,0.39,0.0
2011-11-08,1.22,-0.02,0.51,0.0
2011-11-09,-3.78,-0.76,-0.69,0.0
2011-11-10,0.83,0.04,0.54,0.0
2011-11-11,1.98,0.46,-0.18,0.0
2011-11-14,-0.92,-0.43,-0.87,0.0
2011-11-15,0.56,0.88,-0.25,0.0
2011-11-16,-1.64,-0.14,-0.16,0.0
2011-11-17,-1.65,0.23,0.15,0.0
2011-11-18,-0.08,0.02,0.89,0.0
2011-11-21,-1.86,-0.48,-0.04,0.0
2011-11-22,-0.42,-0.28,-0.55,0.0
2011-11-23,-2.27,-0.69,-0.28,0.0
2011-11-25,-0.34,-1.02,0.5,0.0
2011-11-28,3.11,1.58,-0.62,0.0
2011-11-29,0.18,-0.5,0.11,0.0
2011-11-30,4.44,1.06,1.13,0.0
2011-12-01,-0.22,-0.49,-0.65,0.0
2011-12-02,0.05,0.44,0.63,0.0
2011-12-05,1.1,0.28,0.25,0.0
2011-12-06,0.05,-0.07,0.05,0.0
2011-12-07,0.16,-0.31,0.75,0.0
2011-12-08,-2.23,-0.74,-1.02,0.0
2011-12-09,1.83,1.31,0.14,0.0
2011-12-12,-1.48,0.07,-0.48,0.0
2011-12-13,-1.05,-0.99,0.08,0.0
2011-12-14,-1.21,-0.28,0.91,0.0
2011-12-15,0.4,0.65,0.14,0.0
2011-12-16,0.46,0.23,-0.05,0.0
2011-12-19,-1.3,-0.4,-0.72,0.0
2011-12-20,3.1,0.76,0.34,0.0
2011-12-21,0.2,-0.01,1.27,0.0
2011-12-22,0.83,-0.21,0.63,0.0
2011-12-23,0.84,-0.61,-0.12,0.0
2011-12-27,0.04,0.5,-0.55,0.0
2011-12-28,-1.34,-0.7,-0.07,0.0
2011-12-29,1.1,0.19,0.29,0.0
2011-12-30,-0.41,-0.06,-0.2,0.0
2012-01-03,1.5,-0.2,0.9,0.0
2012-01-04,0.0,-0.65,0.01,0.0
2012-01-05,0.39,0.18,0.18,0.0
2012-01-06,-0.19,0.03,-0.3,0.0
2012-01-09,0.28,0.24,-0.07,0.0
2012-01-10,0.97,0.36,0.39,0.0
2012-01-11,0.13,0.16,0.31,0.0
2012-01-12,0.31,0.27,0.03,0.0
2012-01-13,-0.52,-0.24,-0.43,0.0
2012-01-17,0.36,-0.09,-0.75,0.0
2012-01-18,1.21,0.55,0.19,0.0
2012-01-19,0.51,-0.13,-0.22,0.0
2012-01-20,0.03,0.25,0.64,0.0
2012-01-23,0.02,-0.29,0.17,0.0
2012-01-24,0.0,0.81,-0.31,0.0
2012-01-25,0.91,0.12,-0.77,0.0
2012-01-26,-0.6,0.23,-0.45,0.0
2012-01-27,0.01,0.8,-0.13,0.0
2012-01-30,-0.31,-0.44,-0.29,0.0
2012-01-31,-0.05,-0.04,0.03,0.0
2012-02-01,1.1,1.07,0.36,0.0
2012-02-02,0.17,0.39,0.03,0.0
2012-02-03,1.58,0.57,0.38,0.0
2012-02-06,-0.05,-0.24,-0.23,0.0
2012-02-07,0.16,-0.26,-0.08,0.0
2012-02-08,0.25,-0.14,0.46,0.0
2012-02-09,0.15,-0.38,-0.31,0.0
2012-02-10,-0.75,-0.61,-0.06,0.0
2012-02-13,0.75,0.6,-0.08,0.0
2012-02-14,-0.09,-0.38,-0.35,0.0
2012-02-15,-0.5,-0.29,0.1,0.0
2012-02-16,1.27,0.68,0.34,0.0
2012-02-17,0.16,-0.33,0.5,0.0
2012-02-21,-0.05,-0.66,0.28,0.0
2012-02-22,-0.39,-0.36,-0.63,0.0
2012-02-23,0.56,0.94,-0.02,0.0
2012-02-24,0.15,-0.44,-0.64,0.0
2012-02-27,0.14,-0.23,0.36,0.0
2012-02-28,0.28,-0.61,-0.13,0.0
2012-02-29,-0.55,-1.02,0.15,0.0
2012-03-01,0.64,-0.23,0.05,0.0
2012-03-02,-0.46,-1.24,-0.06,0.0
2012-03-05,-0.4,0.46,0.29,0.0
2012-03-06,-1.62,-0.3,-0.35,0.0
2012-03-07,0.8,0.3,0.29,0.0
2012-03-08,1.07,0.34,-0.24,0.0
2012-03-09,0.49,0.9,0.18,0.0
2012-03-12,-0.07,-0.2,-0.04,0.0
2012-03-13,1.86,0.07,0.96,0.0
2012-03-14,-0.23,-0.63,-0.19,0.0
2012-03-15,0.67,0.26,0.52,0.0
2012-03-16,0.06,-0.28,0.39,0.0
2012-03-19,0.41,0.52,-0.04,0.0
2012-03-20,-0.39,-0.64,0.3,0.0
2012-03-21,-0.1,0.3,-0.41,0.0
2012-03-22,-0.74,-0.12,-0.46,0.0
2012-03-23,0.39,0.56,0.37,0.0
2012-03-26,1.45,0.47,-0.22,0.0
2012-03-27,-0.3,-0.34,-0.33,0.0
2012-03-28,-0.52,-0.03,0.49,0.0
2012-03-29,-0.17,-0.01,-0.26,0.0
2012-03-30,0.28,-0.69,-0.04,0.0
2012-04-02,0.78,0.36,0.06,0.0
2012-04-03,-0.34,-0.28,-0.28,0.0
2012-04-04,-1.11,-0.56,-0.04,0.0
2012-04-05,-0.03,-0.09,-0.42,0.0
